Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ahaaew/status/1725107419125039106,????????Reload,https://twitter.com/ahaaew,2023-11-16,"The Zionists released a video showing soldiers entering resistance tunnels, but in fact, this video is from a tourist attraction on the Swedish island of Skeppsholmen#???_????? #Gaza #Israel #??????_?????? #IsraelIsATerrorist #IsraeliTerrorists #IsraelisISIS #IsraeliNewNazism",,https://twitter.com/ahaaew/status/1725107419125039106,False,18,213,287,26K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/Doumnjk/status/1725178146268303853,SanctumReload,https://twitter.com/Doumnjk,2023-11-16,"This is what happens when you get closer to MRI scan device with metallic object, how come #Israel have found weapons “stand still” behind that thing? #IsraelIsATerrorist",,https://twitter.com/Doumnjk/status/1725178146268303853,False,12,64,91,10K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ghadaoueiss/status/1725281745736487090,Ghada Oueiss ???? ????Reload,https://twitter.com/ghadaoueiss,2023-11-16,#Israel 's War On Hospitals,,https://twitter.com/ghadaoueiss/status/1725281745736487090,False,67,2.2K,2.8K,68K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725131579784130669,Quds News NetworkReload,https://twitter.com/QudsNen,2023-11-16,The Israeli occupation forces kidnapped and dragged an elderly woman who could barely walk in the #WestBank. #Israel #Gaza,,https://twitter.com/QudsNen/status/1725131579784130669,False,564,10K,8.3K,338K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/RabbiShmuley/status/1725362848157626585,Rabbi ShmuleyReload,https://twitter.com/RabbiShmuley,2023-11-17,"@mohammedhijabofficial knows how to do there things: hurl personal insults, aggressively interrupt others, and play the victim card. #israel",,https://twitter.com/RabbiShmuley/status/1725362848157626585,False,327,95,386,44K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ahaaew/status/1725107419125039106,????????Reload,https://twitter.com/ahaaew,2023-11-16,"The Zionists released a video showing soldiers entering resistance tunnels, but in fact, this video is from a tourist attraction on the Swedish island of Skeppsholmen#???_????? #Gaza #Israel #??????_?????? #IsraelIsATerrorist #IsraeliTerrorists #IsraelisISIS #IsraeliNewNazism",,https://twitter.com/ahaaew/status/1725107419125039106,False,18,214,287,26K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ZechariahSharab/status/1725118261723828632,Zechariah Shar'abi | ????? | ?????ReloadRaymond Hakim,https://twitter.com/ZechariahSharab,2023-11-16,"This is not #GazaThis is Homs #Syria, where Assad and Hezbollah have been bombarding civilians non-stopIsn't ironic that much of the anti-#Israel crowd are big fans of Assad?#HamasisISIS",,https://twitter.com/ZechariahSharab/status/1725118261723828632,False,293,3.2K,6.7K,260K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1725268365684428921,AbierReload,https://twitter.com/abierkhatib,2023-11-16,"""We will kill as much as we want from you and those who support you. We will slaughter you in ways you never knew before”Just an #Israel TV presenter  expressing “self defense” live Lebanese, take note. This is message is for u too #Israel",,https://twitter.com/abierkhatib/status/1725268365684428921,False,422,5.3K,5.1K,245K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/JustShortMinds/status/1725220501960999417,???? ???,https://twitter.com/JustShortMinds,2023-11-16,The World Should Unite Against #Israel !  #AngelinaJolie,https://pbs.twimg.com/media/F_E2nnPbQAAy78E?format=jpg&name=small,https://twitter.com/JustShortMinds/status/1725220501960999417,False,28,105,442,17K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1724935620735205680,Quds News NetworkReload,https://twitter.com/QudsNen,2023-11-15,Having doubt that #Israel is a racist entity? Popular Israeli singer Lior Narkis singing for Israeli soldiers.,,https://twitter.com/QudsNen/status/1724935620735205680,False,500,5.7K,6.4K,589K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/Franke_schrijft/status/1725037285249306726,Jan FrankeThomas van Linge,https://twitter.com/Franke_schrijft,2023-11-16,CAUTION - I have been to the Al Shifa hospital several times as a reporter during the #Israel #Gaza war in 2014 and also afterwards. It is a vast complex. I have personally seen #Hamas fighters there. Everyone in #Gaza including #UN staff knows about dual use of these facilities.,,https://twitter.com/Franke_schrijft/status/1725037285249306726,False,342,3.3K,9.8K,1.2M
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/EitanChitayat/status/1725147683898220953,Eitan Chitayat,https://twitter.com/EitanChitayat,2023-11-16,Shalom Motherfu**er—#Jewish #Jew #Israel,,https://twitter.com/EitanChitayat/status/1725147683898220953,False,157,695,1.6K,138K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725110043639435328,Quds News Network,https://twitter.com/QudsNen,2023-11-16,"Footage published by the IOF, claims it's an alleged hideout in #AlShifaHospital. An interesting observation on the dates made by Zahididates, this particular variety is cultivated in the Coachella Valley, California, United States.#Gaza #Israel",https://pbs.twimg.com/media/F_DSWrOXUAAae3M?format=png&name=360x360;https://pbs.twimg.com/media/F_DSXCtW8AA6kjC?format=jpg&name=small,https://twitter.com/QudsNen/status/1725110043639435328,False,332,6.1K,10K,583K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ME_Observer_/status/1724898690987667897,Middle East Observer,https://twitter.com/ME_Observer_,2023-11-15,"#Israel finds backpacks containing weapons, randomly planted in the hospital.No tunnel complex.This is extremely believable, no one can question this complex, historical, surgical military operation of the IDF on the ''headquarters of Hamas""",,https://twitter.com/ME_Observer_/status/1724898690987667897,False,397,1.5K,3.6K,4M
