word_freq_remove,word_freq_free,word_freq_your,word_freq_000,word_freq_money,word_freq_hp,word_freq_george,char_freq_!,char_freq_$,capital_run_length_average,class
0,0.32,0.96,0,0,0,0,0.778,0,3.756,1
0.21,0.14,1.59,0.43,0.43,0,0,0.372,0.18,5.114,1
0.19,0.06,0.51,1.16,0.06,0,0,0.276,0.184,9.821,1
0.31,0.31,0.31,0,0,0,0,0.137,0,3.537,1
0.31,0.31,0.31,0,0,0,0,0.135,0,3.537,1
0,0,0,0,0,0,0,0,0,3,1
0,0.96,0.64,0,0,0,0,0.164,0.054,1.671,1
0,0,0,0,0,0,0,0,0,2.45,1
0.3,0,2,0,0.15,0,0,0.181,0.203,9.744,1
0.38,0,0.71,0.19,0,0,0,0.244,0.081,1.729,1
0.96,0,0.96,0,0,0,0,0.462,0,1.312,1
0.25,0,0.77,0,0,0,0,0.663,0,1.243,1
0,0.34,1.04,0,0,0,0,0.786,0,3.728,1
0.9,0,0.9,0,0,0,0,0,0,2.083,1
0,5.35,2.85,0.35,0,0,0,0.357,0,1.971,1
0.42,1.27,1.27,0,0.42,0,0,0.572,0.063,5.659,1
0,0,2.83,0,0,0,0,0.428,0,4.652,1
0,0,2.11,0.7,0,0,0,1.975,0.37,35.461,1
0.18,0,0.92,0,0,0,0,0.455,0,1.32,1
0,0.63,1.91,0.31,0.63,0,0,0.055,0.496,3.509,1
0,0,0,0,0,0,0,0.729,0,3.833,1
0.15,0,1.57,0.05,0,0,0,0.25,0.046,2.569,1
0,2.94,0,0,0,0,0,0.809,0,4.857,1
0,1.16,1.75,0,0,0,0,0.667,0,1.131,1
0,0,0,0,0,0,0,0.392,0.196,5.466,1
0.15,0,1.57,0.05,0,0,0,0.25,0.046,2.565,1
0,0,0,0,0,0,0,0.392,0.196,5.466,1
1.66,0,0,0,3.33,0,0,0.368,0,2.611,1
0,3.33,0,0,0,0,0,0.352,0,4,1
0.65,0.65,1.3,0,0.65,0,0,0.091,0,2.687,1
0,0,0,0,0,0,0,0.886,0,1.966,1
0,3.03,0,0,0,0,0,2.112,0,3.909,1
0,0.27,2.7,0,0.27,0,0,0,0.091,1.39,1
0,0,0,0,0,0,0,0,0.302,1.7,1
0,0,0.68,0,0,0.68,0,0,0,3.826,1
0,0,0,0,0,0,0,1.543,0,2.777,1
0,2.94,0,0,0,0,0,0.873,0,4.142,1
0.48,0.48,2.43,0.48,0,0,0,0.488,0.244,5.431,1
0,0.48,0.97,0,0,0,0,0.963,0,3.1,1
0,0.41,1.25,0,0,0,0,0.75,0,3.851,1
